"Nº","TITULO","AUTOR","URL","UBICACION","IMAGEN","FECHA","DISTRITO"
372,"Monumento a Simón Bolívar","Juan Jaen Díaz","http://canariosenelmundo.com/gente/biografias/biografia-del-escultor-canario-venezolano-juan-jaen-diaz/","Jardines Alonso Quesada","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/372.JPG",1982,"DISTRITO CENTRO"
380,"Monumento a Don Benito Pérez Galdós","Manuel Bethencourt","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=563&Itemid=673","Calle Rafael Cabrera","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/380.JPG",1991,"DISTRITO CENTRO"
384,"Monumento a Agustín Millares Carló","Juan Borges Linares","http://juan_borges_linares.blogia.com/temas/biografia.php","Calle Pérez del Toro","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/384.JPG",1993,"DISTRITO CENTRO"
386,"Monumento al doctor D. Juan Negrín López","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Cl. Triana","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/386.JPG",1993,"DISTRITO CENTRO"
391,"Monumento a Camille Saint - Saëns","Juan Borges Linares","http://juan_borges_linares.blogia.com/temas/biografia.php","Cl. Lentini","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/391.JPG",1993,"DISTRITO CENTRO"
393,"Monumento a Gregorio Chil y Naranjo","Abraham Cárdenes",,"Paseo de Chil","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/393.JPG","C. 1994","DISTRITO CENTRO"
394,"Busto del doctor Domingo J. Navarro","Fátima Cabrera Rodríguez. Fundidor: Eugenio Correa Rijo",,"Entre la Plaza de Cairasco y la Calle Malteses, junto al Gabinete Literario","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/394.JPG","C. 1994","DISTRITO CENTRO"
396,"Monumento a Pablo Iglesias","Juan Borges Linares","http://juan_borges_linares.blogia.com/temas/biografia.php","Avenida 1º Mayo","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/396.JPG",1994,"DISTRITO CENTRO"
400,"Monumento a Rafael O'Shanahan","José Perera Valido",,"Plaza Doctor Rafael O’Shanahan","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/400.JPG",1995,"DISTRITO CENTRO"
402,"La Portada","Máximo Riol Cimas",,"Rotonda de los Arquitectos Técnicos","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/402.JPG",1997,"DISTRITO CENTRO"
408,"Busto de San Juan Bosco","Anónimo",,"Jardines Alonso Quesada, Cl. León y Castillo.","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/408.JPG",1998,"DISTRITO CENTRO"
409,"Monumento a la Vela Latina","Juan Antonio Giraldo","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=626&Itemid=736","Avenida Maritima","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/409.JPG",1998,"DISTRITO CENTRO"
411,"Alianza","Facundo Fierro",,"Avenida Juan XXIII","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/411.JPG",1999,"DISTRITO CENTRO"
412,"Al Padrecito","Máximo Riol Cimas",,"Parque de la Música","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/412.JPG","C. 1999","DISTRITO CENTRO"
413,"Busto del Doctor D. José Ponce Arias","Juan Delgado",,"Plaza de Gabriel Mejías Pombo - Calle Pío XII","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/413.JPG",1999,"DISTRITO CENTRO"
414,"Busto de Don Benito Pérez Galdós","Teo Mesa",,"Plaza de la Caleta            Parque Doramas","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/414.JPG",2000,"DISTRITO CENTRO"
416,"Busto de Don José Perojo","Facundo Fierro",,"Plaza Padre Hilario. Calle Murga","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/416.JPG","C. 2000","DISTRITO CENTRO"
423,"Homenaje a los Olímpicos de la Provincia de Las Palmas","Juan Bordes Caballero","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=569&Itemid=679","Paseo de la Playa de Las Alcaravaneras","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/423.JPG","C. 2001","DISTRITO CENTRO"
