"Nº","TITULO","AUTOR","URL","UBICACION","IMAGEN","FECHA","DISTRITO"
459,"Fuente de los leones o Fontana de oro","Anónimo",,"Plaza Don Benito","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/459.JPG",2000,"DISTRITO CIUDAD ALTA"
699,"Monumento a Santiago García Díaz ""CHARLOT""","Manuel González Muñoz","http://www.racba.es/index.php/seccion-de-escultura/513-gonzalez-munoz-manuel","Plaza de Santiago García Díaz (Urb. Sansofé)","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/699.JPG",2003,"DISTRITO CIUDAD ALTA"
703,"Benito Pérez Galdós","Ana Luisa Benítez Suárez","http://www.analuisabenitez.com/","Plaza de Don Benito","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/703.JPG",2003,"DISTRITO CIUDAD ALTA"
705,"La sabina","Juan Antonio Giraldo","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=626&Itemid=736","Laderas de la Minilla","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/705.JPG",2003,"DISTRITO CIUDAD ALTA"
706,"Mural de la Minilla","Jose Antonio García Álvarez",,"Laderas de la Minilla","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/706.JPG",2003,"DISTRITO CIUDAD ALTA"
712,"Ideograma","Juan Hidalgo",,"Parque Juan Pablo II","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/712.JPG",2004,"DISTRITO CIUDAD ALTA"
718,"Monumento conmemorativo a Schamann","Anónimo",,"Paseo de San Antonio – Cl Salvador Monsalud","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/718.JPG",2004,"DISTRITO CIUDAD ALTA"
727,"Monumento a Juan Pablo II","Manuel González","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=631&Itemid=741","Parque Juan Pablo II","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/727.JPG",2005,"DISTRITO CIUDAD ALTA"
736,"Pórticos","Juan Correa Bordes",,"Cl. León XIII. El Polvorín","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/736.JPG",2006,"DISTRITO CIUDAD ALTA"
374,"Monumento al Atlante","Tony Gallardo","http://www.tonygallardo.com","Carretera del Rincón","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/374.JPG",1986,"DISTRITO TAMARACEITE - SAN LORENZO"
777,"Los mártires de San Lorenzo","Agustín Torón",,"Parque de la Mayordomía","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/777.JPG",2010,"DISTRITO TAMARACEITE - SAN LORENZO"
